order_id,order_date,store_id,region,channel,category,product,units,unit_price,discount_pct,unit_cost,customer_segment,payment_method,returned,satisfaction
ORD-002776,2025-06-02,MTY-01,Norte,Online,Hogar,Licuadora,1,976.48,0.1,559.62,Recurrente,Tarjeta,False,4.0
ORD-001816,2025-08-29,MTY-01,Norte,Online,Electrónica,Monitor 24 pulgadas,2,3359.38,0.05,2439.9,Nuevo,Tarjeta,False,4.0
ORD-000212,2025-08-21,MER-01,Sureste,Online,Oficina,Silla ergonómica,4,2985.82,0.05,1835.28,Nuevo,Tarjeta,False,5.0
ORD-001553,2025-08-20,PUE-01,Centro,Tienda,Electrónica,Monitor 24 pulgadas,3,3216.54,0.3,2354.8,Nuevo,Tarjeta,False,5.0
ORD-003249,2025-07-07,CAN-01,Sureste,Online,Electrónica,Audífonos Bluetooth,1,708.26,0.1,382.22,Nuevo,Tarjeta,False,1.0
ORD-002324,2025-07-12,VER-01,Golfo,Online,Hogar,Cafetera programable,5,1495.98,0.15,868.82,Recurrente,Tarjeta,True,4.0
ORD-001346,2025-07-22,CDMX-01,Centro,Tienda,Hogar,Cafetera programable,1,1401.54,0.0,857.72,Nuevo,Tarjeta,False,5.0
ORD-002012,2025-04-12,MER-01,Sureste,Tienda,Hogar,Juego de sábanas,1,647.99,0.1,303.29,Recurrente,Efectivo,False,5.0
ORD-001069,2025-11-22,GDL-02,Occidente,Tienda,Oficina,Silla ergonómica,1,3267.46,0.0,1829.0,Empresa,Tarjeta,False,5.0
ORD-002631,2025-07-13,GDL-02,Occidente,Tienda,Deportes,Tapete de yoga,1,381.33,0.05,159.28,Recurrente,Efectivo,False,4.0
ORD-002524,2025-10-21,CDMX-02,Centro,Online,Oficina,Lámpara LED,1,577.42,0.05,233.44,Nuevo,Tarjeta,False,4.0
ORD-003234,2025-09-23,MTY-02,Norte,Online,Oficina,Organizador de escritorio,2,287.13,0.1,105.75,Nuevo,Tarjeta,False,5.0
ORD-000724,2025-01-11,VER-01,Golfo,Tienda,Deportes,Tapete de yoga,3,399.49,0.3,161.98,Recurrente,Efectivo,False,5.0
ORD-000195,2025-11-08,CDMX-02,Centro,Online,Deportes,Mochila deportiva,1,803.53,0.1,348.79,Recurrente,Efectivo,False,4.0
ORD-003544,2025-04-20,CAN-01,Sureste,Tienda,Electrónica,Monitor 24 pulgadas,2,3233.24,0.2,2306.21,Recurrente,Tarjeta,False,4.0
ORD-001237,2025-06-03,GDL-01,Occidente,Tienda,Hogar,Licuadora,4,973.18,0.2,547.05,Recurrente,Tarjeta,False,4.0
ORD-002485,2025-06-13,GDL-01,Occidente,Tienda,Oficina,Silla ergonómica,3,2965.26,0.1,1805.9,Recurrente,Efectivo,False,5.0
ORD-002461,2025-04-04,CAN-01,Sureste,Tienda,Oficina,Lámpara LED,1,558.48,0.0,234.56,Recurrente,Tarjeta,False,4.0
ORD-000687,2025-08-04,CDMX-02,Centro,Tienda,Electrónica,Audífonos Bluetooth,1,677.06,0.05,382.6,Recurrente,Transferencia,False,4.0
ORD-000391,2025-05-30,CDMX-01,Centro,Tienda,Oficina,Silla ergonómica,1,2853.62,0.05,1836.62,Nuevo,Efectivo,False,4.0
ORD-003208,2025-02-10,MTY-02,Norte,Online,Deportes,Tapete de yoga,4,404.38,0.1,157.07,Recurrente,Efectivo,True,5.0
ORD-000012,2025-11-10,PUE-01,Centro,Tienda,Electrónica,Audífonos Bluetooth,2,785.73,0.2,381.48,Recurrente,Transferencia,True,3.0
