order_id,order_date,store_id,region,channel,category,product,units,unit_price,discount_pct,unit_cost,customer_segment,payment_method,returned,satisfaction,gross_sales,discount_amount,net_sales,total_cost,gross_profit,margin_pct,is_high_value_order
ORD-000175,2025-01-01,GDL-02,Occidente,Online,Hogar,Cafetera programable,5,1448.8,0.05,870.59,Recurrente,Efectivo,False,4,7244.0,362.2,6881.8,4352.95,2528.85,36.75,True
ORD-000257,2025-01-01,GDL-01,Occidente,Tienda,Deportes,Mancuernas 10 kg,3,925.16,0.0,500.37,Empresa,Efectivo,False,1,2775.48,0.0,2775.48,1501.11,1274.37,45.92,False
ORD-000285,2025-01-01,GDL-01,Occidente,Tienda,Hogar,Juego de sábanas,2,643.19,0.3,308.67,Nuevo,Transferencia,False,3,1286.38,385.91,900.47,617.34,283.13,31.44,False
ORD-000713,2025-01-01,GDL-01,Occidente,Tienda,Hogar,Cafetera programable,3,1490.23,0.3,885.13,Recurrente,Tarjeta,False,4,4470.69,1341.21,3129.48,2655.39,474.09,15.15,False
ORD-000729,2025-01-01,PUE-01,Centro,Online,Oficina,Lámpara LED,1,545.96,0.05,237.32,Nuevo,Transferencia,False,4,545.96,27.3,518.66,237.32,281.34,54.24,False
ORD-001125,2025-01-01,MER-01,Sureste,Tienda,Deportes,Tapete de yoga,1,419.91,0.2,163.39,Nuevo,Tarjeta,False,4,419.91,83.98,335.93,163.39,172.54,51.36,False
ORD-001246,2025-01-01,CDMX-02,Centro,Tienda,Deportes,Mochila deportiva,2,750.37,0.0,338.47,Nuevo,Transferencia,False,5,1500.74,0.0,1500.74,676.94,823.8,54.89,False
ORD-002137,2025-01-01,GDL-01,Occidente,Tienda,Hogar,Licuadora,2,970.23,0.0,556.35,Nuevo,Tarjeta,False,5,1940.46,0.0,1940.46,1112.7,827.76,42.66,False
ORD-002191,2025-01-01,GDL-01,Occidente,Tienda,Electrónica,Audífonos Bluetooth,2,714.63,0.2,382.13,Recurrente,Tarjeta,False,3,1429.26,285.85,1143.41,764.26,379.15,33.16,False
ORD-002223,2025-01-01,CDMX-02,Centro,Tienda,Hogar,Licuadora,1,1008.85,0.1,556.74,Recurrente,Tarjeta,False,5,1008.85,100.88,907.97,556.74,351.23,38.68,False
ORD-002517,2025-01-01,MTY-02,Norte,Tienda,Electrónica,Teclado mecánico,2,1205.66,0.0,734.43,Nuevo,Tarjeta,False,5,2411.32,0.0,2411.32,1468.86,942.46,39.08,False
ORD-002573,2025-01-01,GDL-02,Occidente,Tienda,Hogar,Juego de sábanas,1,682.22,0.1,315.66,Nuevo,Efectivo,False,4,682.22,68.22,614.0,315.66,298.34,48.59,False
ORD-000157,2025-01-02,CAN-01,Sureste,Tienda,Hogar,Cafetera programable,2,1525.76,0.15,871.49,Nuevo,Tarjeta,False,3,3051.52,457.73,2593.79,1742.98,850.81,32.8,False
ORD-000161,2025-01-02,MTY-02,Norte,Tienda,Hogar,Cafetera programable,1,1477.66,0.0,881.46,Nuevo,Tarjeta,False,3,1477.66,0.0,1477.66,881.46,596.2,40.35,False
ORD-000436,2025-01-02,CAN-01,Sureste,Tienda,Deportes,Mancuernas 10 kg,2,903.05,0.0,505.9,Nuevo,Tarjeta,False,3,1806.1,0.0,1806.1,1011.8,794.3,43.98,False
ORD-001130,2025-01-02,GDL-02,Occidente,Tienda,Hogar,Cafetera programable,3,1455.53,0.1,874.21,Recurrente,Transferencia,False,4,4366.59,436.66,3929.93,2622.63,1307.3,33.27,False
